2024-07-03 15:27:47.490 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - "Closing JPA EntityManagerFactory for persistence unit 'default'" 
2024-07-03 15:27:47.492 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - "HikariPool-1 - Shutdown initiated..." 
2024-07-03 15:27:47.562 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - "HikariPool-1 - Shutdown completed." 
2024-07-03 15:28:09.362 [restartedMain] INFO  c.c.bottletalk.BottleTalkApplication - "Starting BottleTalkApplication using Java 17.0.11 with PID 22216 (C:\himedia\BottelTalk\build\classes\java\main started by tiq00 in C:\himedia\BottelTalk)" 
2024-07-03 15:28:09.364 [restartedMain] INFO  c.c.bottletalk.BottleTalkApplication - "No active profile set, falling back to 1 default profile: "default"" 
2024-07-03 15:28:09.392 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - "Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable" 
2024-07-03 15:28:09.392 [restartedMain] INFO  o.s.b.d.e.DevToolsPropertyDefaultsPostProcessor - "For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'" 
2024-07-03 15:28:09.793 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - "Bootstrapping Spring Data JPA repositories in DEFAULT mode." 
2024-07-03 15:28:09.828 [restartedMain] INFO  o.s.d.r.c.RepositoryConfigurationDelegate - "Finished Spring Data repository scanning in 30 ms. Found 1 JPA repository interface." 
2024-07-03 15:28:10.198 [restartedMain] INFO  o.s.b.w.e.tomcat.TomcatWebServer - "Tomcat initialized with port 8080 (http)" 
2024-07-03 15:28:10.207 [restartedMain] INFO  o.a.catalina.core.StandardService - "Starting service [Tomcat]" 
2024-07-03 15:28:10.207 [restartedMain] INFO  o.a.catalina.core.StandardEngine - "Starting Servlet engine: [Apache Tomcat/10.1.25]" 
2024-07-03 15:28:10.243 [restartedMain] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] - "Initializing Spring embedded WebApplicationContext" 
2024-07-03 15:28:10.243 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - "Root WebApplicationContext: initialization completed in 850 ms" 
